"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0005201",1.10609266640477e-28,1,62,105,"extracellular matrix structural constituent","MF"
"GO:0006082",1.30339969871284e-27,1,218,829,"organic acid metabolic process","BP"
"GO:0043436",3.82180532411164e-27,1,213,808,"oxoacid metabolic process","BP"
"GO:0019752",1.05419590145083e-25,1,204,778,"carboxylic acid metabolic process","BP"
"GO:0044281",3.53860753338183e-25,1,321,1483,"small molecule metabolic process","BP"
"GO:0042221",4.26356132477896e-24,1,513,2744,"response to chemical","BP"
"GO:0043062",2.17539804863394e-23,1,92,242,"extracellular structure organization","BP"
"GO:0032787",8.12006299738743e-23,1,142,486,"monocarboxylic acid metabolic process","BP"
"GO:0030198",1.5695097187471e-22,1,81,201,"extracellular matrix organization","BP"
"GO:0006629",3.59632402884857e-20,1,229,1006,"lipid metabolic process","BP"
"GO:0007155",4.27018948665537e-20,1,219,939,"cell adhesion","BP"
"GO:0022610",6.6901891127612e-20,1,220,948,"biological adhesion","BP"
"GO:0006631",1.52055399600372e-18,1,101,326,"fatty acid metabolic process","BP"
"GO:0050896",2.08230101117996e-18,1,871,5535,"response to stimulus","BP"
"GO:0004497",2.77007161322177e-18,1,50,105,"monooxygenase activity","MF"
"GO:0008395",1.1540618344798e-17,1,35,57,"steroid hydroxylase activity","MF"
"00982",2.68097426014193e-17,1,41,79,"Drug metabolism - cytochrome P450","KEGG"
"GO:0016491",8.76033727309948e-17,1,154,643,"oxidoreductase activity","MF"
"GO:0001525",1.93544372308249e-16,1,117,427,"angiogenesis","BP"
"GO:0005198",2.03561654557296e-16,1,115,443,"structural molecule activity","MF"
"GO:0030334",2.63055779020404e-16,1,170,722,"regulation of cell migration","BP"
"GO:2000145",3.74656777488373e-16,1,175,754,"regulation of cell motility","BP"
"00980",7.13406792445763e-16,1,37,71,"Metabolism of xenobiotics by cytochrome P450","KEGG"
"GO:0040012",7.52917679998708e-16,1,183,806,"regulation of locomotion","BP"
"GO:0009888",1.24165700602617e-15,1,268,1329,"tissue development","BP"
"GO:0040011",1.3146611074513e-15,1,263,1303,"locomotion","BP"
"GO:0051239",1.33712300535856e-15,1,411,2280,"regulation of multicellular organismal process","BP"
"GO:0048514",1.70334644639821e-15,1,130,509,"blood vessel morphogenesis","BP"
"GO:0048037",2.73190163430752e-15,1,120,465,"cofactor binding","MF"
"GO:0016477",3.31726184064585e-15,1,229,1098,"cell migration","BP"
"GO:0051270",4.03036711594126e-15,1,181,808,"regulation of cellular component movement","BP"
"GO:0009605",5.24864485325362e-15,1,298,1555,"response to external stimulus","BP"
"GO:0048646",5.30087808811021e-15,1,191,867,"anatomical structure formation involved in morphogenesis","BP"
"GO:0005539",6.83652156068784e-15,1,55,144,"glycosaminoglycan binding","MF"
"GO:0035239",9.26802122460306e-15,1,164,712,"tube morphogenesis","BP"
"01100",1.01267811177141e-14,1,207,996,"Metabolic pathways","KEGG"
"GO:0010033",1.73118251455619e-14,1,371,2050,"response to organic substance","BP"
"GO:0070887",1.79839664736367e-14,1,375,2079,"cellular response to chemical stimulus","BP"
"GO:0001568",2.1369946907185e-14,1,141,586,"blood vessel development","BP"
"GO:0009653",2.18199279426487e-14,1,357,1943,"anatomical structure morphogenesis","BP"
"GO:0016712",3.23748797578296e-14,1,29,49,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","MF"
"GO:0048870",5.28248324316943e-14,1,236,1171,"cell motility","BP"
"GO:0051674",5.28248324316943e-14,1,236,1171,"localization of cell","BP"
"GO:0051240",6.04226322970747e-14,1,267,1370,"positive regulation of multicellular organismal process","BP"
"GO:0009719",7.79027514955828e-14,1,206,984,"response to endogenous stimulus","BP"
"GO:0006935",9.21982947152252e-14,1,105,401,"chemotaxis","BP"
"GO:0042330",1.5399766092523e-13,1,105,404,"taxis","BP"
"GO:0005102",1.83145107246195e-13,1,221,1098,"signaling receptor binding","MF"
"GO:0001944",1.94038739578299e-13,1,143,614,"vasculature development","BP"
"GO:0016705",2.50288093437271e-13,1,57,163,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"GO:0044283",2.61277165992915e-13,1,129,543,"small molecule biosynthetic process","BP"
"GO:0001676",3.89942652410001e-13,1,36,77,"long-chain fatty acid metabolic process","BP"
"GO:0032501",4.18382412902781e-13,1,710,4526,"multicellular organismal process","BP"
"GO:0008201",4.47026771293031e-13,1,44,110,"heparin binding","MF"
"GO:0042060",5.51177273340196e-13,1,81,282,"wound healing","BP"
"GO:0046394",6.19587906832211e-13,1,85,305,"carboxylic acid biosynthetic process","BP"
"GO:0072358",6.98598262308839e-13,1,143,624,"cardiovascular system development","BP"
"GO:0035295",7.34192285971665e-13,1,182,857,"tube development","BP"
"GO:1901681",7.5109481745187e-13,1,61,188,"sulfur compound binding","MF"
"GO:0016053",7.54831633269749e-13,1,85,306,"organic acid biosynthetic process","BP"
"GO:0006805",9.30690660439405e-13,1,40,96,"xenobiotic metabolic process","BP"
"GO:0072359",1.3493147185778e-12,1,185,881,"circulatory system development","BP"
"GO:0008202",2.16504880165099e-12,1,70,235,"steroid metabolic process","BP"
"GO:0020037",2.29639822719026e-12,1,45,119,"heme binding","MF"
"00830",2.97537621758129e-12,1,33,70,"Retinol metabolism","KEGG"
"GO:0005509",4.0842585888744e-12,1,95,370,"calcium ion binding","MF"
"GO:0046906",5.39743835792038e-12,1,46,126,"tetrapyrrole binding","MF"
"GO:0038023",7.16063448278206e-12,1,120,507,"signaling receptor activity","MF"
"GO:0044255",7.78371521763857e-12,1,163,770,"cellular lipid metabolic process","BP"
"GO:0051186",8.56054130003374e-12,1,106,443,"cofactor metabolic process","BP"
"GO:0030414",2.25834882430701e-11,1,42,115,"peptidase inhibitor activity","MF"
"GO:0009611",2.27736248372946e-11,1,92,361,"response to wounding","BP"
"04512",2.76698387180394e-11,1,31,67,"ECM-receptor interaction","KEGG"
"GO:0019373",2.88485447398044e-11,1,19,28,"epoxygenase P450 pathway","BP"
"GO:0030020",3.26549602461367e-11,1,19,28,"extracellular matrix structural constituent conferring tensile strength","MF"
"GO:0006928",3.62410534218475e-11,1,265,1436,"movement of cell or subcellular component","BP"
"GO:0004888",3.940427834454e-11,1,96,384,"transmembrane signaling receptor activity","MF"
"GO:0044282",4.4899396204221e-11,1,75,274,"small molecule catabolic process","BP"
"GO:0060089",4.61628937120847e-11,1,125,550,"molecular transducer activity","MF"
"GO:0007167",5.39958982160526e-11,1,145,670,"enzyme linked receptor protein signaling pathway","BP"
"GO:0048513",5.42698450462153e-11,1,391,2302,"animal organ development","BP"
