"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0002376",1.6988758202935e-21,1,247,2252,"immune system process","BP"
"GO:0006955",4.27238918746752e-19,1,161,1300,"immune response","BP"
"GO:0001775",2.78520650027826e-18,1,128,940,"cell activation","BP"
"GO:0050896",6.91750096122091e-18,1,585,7270,"response to stimulus","BP"
"GO:0045321",1.0678099385904e-16,1,115,840,"leukocyte activation","BP"
"GO:0002682",1.17795497033547e-16,1,154,1288,"regulation of immune system process","BP"
"GO:0006952",2.61532043326537e-15,1,151,1297,"defense response","BP"
"GO:0046649",1.29883387224967e-14,1,97,700,"lymphocyte activation","BP"
"GO:0002684",2.88435113263741e-14,1,115,912,"positive regulation of immune system process","BP"
"GO:0050776",4.49481959976911e-14,1,100,751,"regulation of immune response","BP"
"GO:0048583",1.31443758168819e-13,1,315,3529,"regulation of response to stimulus","BP"
"GO:0048584",4.4934245681212e-13,1,204,2048,"positive regulation of response to stimulus","BP"
"GO:0006950",5.70173055555459e-13,1,290,3232,"response to stress","BP"
"GO:0009605",3.05460385232388e-12,1,200,2032,"response to external stimulus","BP"
"GO:0046651",3.66486428715156e-12,1,50,278,"lymphocyte proliferation","BP"
"GO:0070661",4.01728135308972e-12,1,52,297,"leukocyte proliferation","BP"
"GO:0032943",4.82178368328793e-12,1,50,280,"mononuclear cell proliferation","BP"
"GO:0009617",7.22863536021381e-12,1,79,576,"response to bacterium","BP"
"GO:0051716",8.69679932633823e-12,1,467,5901,"cellular response to stimulus","BP"
"GO:0042113",8.95639108611594e-12,1,50,285,"B cell activation","BP"
"GO:0050778",1.10797829035149e-11,1,81,607,"positive regulation of immune response","BP"
"GO:0007165",4.43981455083683e-11,1,373,4535,"signal transduction","BP"
"GO:0050865",1.56328285377624e-10,1,76,581,"regulation of cell activation","BP"
"GO:0002252",1.83437773516813e-10,1,88,725,"immune effector process","BP"
"GO:0051707",2.22850750940154e-10,1,96,816,"response to other organism","BP"
"GO:0043207",2.37297803541333e-10,1,96,817,"response to external biotic stimulus","BP"
"GO:0002694",5.49645026453711e-10,1,71,541,"regulation of leukocyte activation","BP"
"GO:0009607",7.1856899960825e-10,1,97,847,"response to biotic stimulus","BP"
"GO:0002521",7.69910542418115e-10,1,69,520,"leukocyte differentiation","BP"
"GO:0023052",9.25177128558805e-10,1,394,4949,"signaling","BP"
"GO:0035556",1.22313213338561e-09,1,219,2435,"intracellular signal transduction","BP"
"GO:0007154",1.62555627846232e-09,1,397,5017,"cell communication","BP"
"GO:0002253",1.69771377875311e-09,1,58,415,"activation of immune response","BP"
"GO:1901700",2.18710094382021e-09,1,130,1264,"response to oxygen-containing compound","BP"
"GO:0002764",3.79401615654905e-09,1,52,360,"immune response-regulating signaling pathway","BP"
"GO:0042221",5.51569200023881e-09,1,283,3392,"response to chemical","BP"
"GO:0002440",5.53511855294665e-09,1,42,263,"production of molecular mediator of immune response","BP"
"GO:0002757",8.26921624250132e-09,1,50,347,"immune response-activating signal transduction","BP"
"GO:0042100",8.94541887471608e-09,0.99999999839536,22,87,"B cell proliferation","BP"
"GO:0002250",9.29002975670054e-09,1,57,425,"adaptive immune response","BP"
"GO:0010033",1.02302521146082e-08,1,216,2460,"response to organic substance","BP"
"GO:0051249",1.15532227183471e-08,1,59,448,"regulation of lymphocyte activation","BP"
"GO:1901701",1.61476180598152e-08,1,100,926,"cellular response to oxygen-containing compound","BP"
"GO:0071310",1.82277764287932e-08,1,180,1977,"cellular response to organic substance","BP"
"04662",1.83454762630022e-08,0.999999996916111,20,75,"B cell receptor signaling pathway","KEGG"
"GO:0042742",2.07762521644118e-08,0.999999995017809,38,231,"defense response to bacterium","BP"
"GO:0070887",2.46103359774855e-08,1,216,2491,"cellular response to chemical stimulus","BP"
"GO:0001817",2.62401600709069e-08,1,75,640,"regulation of cytokine production","BP"
"GO:0002520",2.82151341917061e-08,1,101,949,"immune system development","BP"
"GO:0007166",2.93086832942444e-08,1,199,2247,"cell surface receptor signaling pathway","BP"
"GO:0051239",3.48842949763386e-08,1,253,3013,"regulation of multicellular organismal process","BP"
"GO:0045087",4.01580374555769e-08,1,74,643,"innate immune response","BP"
"GO:0048534",4.10727749948536e-08,1,96,895,"hematopoietic or lymphoid organ development","BP"
"GO:0050670",4.19156071678999e-08,0.999999987883974,36,217,"regulation of lymphocyte proliferation","BP"
"GO:0002377",4.69023075229916e-08,0.999999987046098,31,173,"immunoglobulin production","BP"
"GO:0032944",5.34335909813227e-08,0.999999984402162,36,219,"regulation of mononuclear cell proliferation","BP"
"GO:0001816",6.28474207501519e-08,1,80,714,"cytokine production","BP"
"GO:0030183",7.93529592062251e-08,0.999999981303335,25,120,"B cell differentiation","BP"
"GO:0030097",9.04098205811791e-08,1,91,848,"hemopoiesis","BP"
"GO:0009966",9.88522143385036e-08,1,220,2586,"regulation of signal transduction","BP"
"GO:0009306",1.07373663846132e-07,1,68,575,"protein secretion","BP"
"GO:0002683",1.27948000027233e-07,1,56,446,"negative regulation of immune system process","BP"
"GO:0070663",1.5474120495319e-07,0.999999950458691,36,228,"regulation of leukocyte proliferation","BP"
"GO:0002790",1.55500983060473e-07,1,71,617,"peptide secretion","BP"
"GO:0006875",1.58226934939058e-07,1,64,536,"cellular metal ion homeostasis","BP"
"GO:0001819",2.07211498104929e-07,1,53,417,"positive regulation of cytokine production","BP"
"GO:0005515",2.20961903739924e-07,1,596,8381,"protein binding","MF"
"GO:0006954",2.35365748724664e-07,1,70,618,"inflammatory response","BP"
"GO:0048518",2.44432825475991e-07,1,418,5577,"positive regulation of biological process","BP"
"GO:0002237",2.55925455290782e-07,0.999999913450328,38,253,"response to molecule of bacterial origin","BP"
"GO:0050853",2.69727593091322e-07,0.999999941661207,21,97,"B cell receptor signaling pathway","BP"
"05322",3.35990113730071e-07,0.999999919411063,23,116,"Systemic lupus erythematosus","KEGG"
"GO:0050708",3.44691356644502e-07,1,57,466,"regulation of protein secretion","BP"
"GO:0002791",3.61526333866555e-07,1,60,502,"regulation of peptide secretion","BP"
"GO:0040011",3.7482332999347e-07,1,154,1693,"locomotion","BP"
"GO:0002460",3.82199145887642e-07,0.999999866028471,44,323,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"GO:0008219",3.86789421793714e-07,1,171,1958,"cell death","BP"
"GO:0012501",4.14429772566856e-07,1,160,1807,"programmed cell death","BP"
"GO:0050818",4.45966167037399e-07,0.999999914879616,18,76,"regulation of coagulation","BP"
"GO:0030098",5.51981040388439e-07,0.999999838742665,47,355,"lymphocyte differentiation","BP"
"GO:0002443",5.79897616230182e-07,0.999999827651026,49,386,"leukocyte mediated immunity","BP"
"GO:0080134",9.2613216606807e-07,0.999999653850067,119,1261,"regulation of response to stress","BP"
"GO:0002429",1.06401278904005e-06,0.999999635323376,34,227,"immune response-activating cell surface receptor signaling pathway","BP"
"GO:0032675",1.23227542737382e-06,0.999999655464411,25,141,"regulation of interleukin-6 production","BP"
